MÊ;PRODUTO;PREÇO MÉDIO REVEN;;;;;;;;;;;;
mar/18;GNV;2,551;;;;;;;;;;;;
mar/18;OLEO DIESEL;3,383;;;;;;;;;;;;
mar/18;OLEO DIESEL S10;3,502;;;;;;;;;;;;
abr/18;ETANOL HIDRATADO;2,972;;;;;;;;;;;;
abr/18;GASOLINA COMUM;4,215;;;;;;;;;;;;
abr/18;GLP;66,985;;;;;;;;;;;;
abr/18;GNV;2,562;;;;;;;;;;;;
abr/18;OLEO DIESEL;3,432;;;;;;;;;;;;
abr/18;OLEO DIESEL S10;3,518;;;;;;;;;;;;
mai/18;ETANOL HIDRATADO;2,811;;;;;;;;;;;;
mai/18;GASOLINA COMUM;4,314;;;;;;;;;;;;
mai/18;GLP;66,957;;;;;;;;;;;;
mai/18;GNV;2,640;;;;;;;;;;;;
mai/18;OLEO DIESEL;3,629;;;;;;;;;;;;
mai/18;OLEO DIESEL S10;3,715;;;;;;;;;;;;
jun/18;ETANOL HIDRATADO;2,933;;;;;;;;;;;;
jun/18;GASOLINA COMUM;4,552;;;;;;;;;;;;
jun/18;GLP;68,766;;;;;;;;;;;;
jun/18;GNV;2,685;;;;;;;;;;;;
jun/18;OLEO DIESEL;3,424;;;;;;;;;;;;
jun/18;OLEO DIESEL S10;3,506;;;;;;;;;;;;
jul/18;ETANOL HIDRATADO;2,785;;;;;;;;;;;;
jul/18;GASOLINA COMUM;4,492;;;;;;;;;;;;
jul/18;GLP;68,574;;;;;;;;;;;;
jul/18;GNV;2,712;;;;;;;;;;;;
jul/18;OLEO DIESEL;3,382;;;;;;;;;;;;
jul/18;OLEO DIESEL S10;3,460;;;;;;;;;;;;
ago/18;ETANOL HIDRATADO;2,656;;;;;;;;;;;;
ago/18;GASOLINA COMUM;4,447;;;;;;;;;;;;
ago/18;GLP;68,345;;;;;;;;;;;;
ago/18;GNV;2,798;;;;;;;;;;;;
ago/18;OLEO DIESEL;3,373;;;;;;;;;;;;
ago/18;OLEO DIESEL S10;3,452;;;;;;;;;;;;
set/18;ETANOL HIDRATADO;2,798;;;;;;;;;;;;
set/18;GASOLINA COMUM;4,625;;;;;;;;;;;;
set/18;GLP;68,476;;;;;;;;;;;;
set/18;GNV;2,851;;;;;;;;;;;;
set/18;OLEO DIESEL;3,605;;;;;;;;;;;;
set/18;OLEO DIESEL S10;3,688;;;;;;;;;;;;
out/18;ETANOL HIDRATADO;2,934;;;;;;;;;;;;
out/18;GASOLINA COMUM;4,717;;;;;;;;;;;;
out/18;GLP;68,529;;;;;;;;;;;;
out/18;GNV;2,880;;;;;;;;;;;;
out/18;OLEO DIESEL;3,706;;;;;;;;;;;;
